anfrage,wunsch_anonymisierung,wunsch_klassifizierung,wunsch_fragen,wunschantwort,generierte_frage_0,kontext_frage_0,generierte_frage_1,kontext_frage_1,generierte_frage_2,kontext_frage_2,generierte_frage_3,kontext_frage_3,generierte_frage_4,kontext_frage_4,generierte_frage_5,kontext_frage_5,generierte_frage_6,kontext_frage_6,generierte_frage_7,kontext_frage_7,anonymisierter_user_input,klassifizierung,form_query_token_usage,generate_token_usage,generierte_antwort
"Guten Tag, wir sind ein Bildungsunternehmen (Weiterbildungen und Kurse für Erwachsene). Wir möchten gern durch Sie Sperrmüll und Schrott entsorgt haben. Wir haben einige defekte Stühle (Holz und Metall), 1 Kühlschrank, 1 Holzpalette und diversen Schrott. Gibt es die Möglichkeit, dass Sie es abholen kommen können? Wir haben unseren Sitz in der Stadtmitte Cottbus (Schloßkirchstraße 2). Wir benötigen dringend die Abholung bereits nächste Woche (KW 29). Vorab vielen Dank. Mit freundlichen Grüßen",Adresse,complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Guten Tag, wir sind ein Bildungsunternehmen (Weiterbildungen und Kurse für Erwachsene). Wir möchten gern durch Sie Sperrmüll und Schrott entsorgt haben. Wir haben einige defekte Stühle (Holz und Metall), 1 Kühlschrank, 1 Holzpalette und diversen Schrott. Gibt es die Möglichkeit, dass Sie es abholen kommen können? Wir haben unseren Sitz in der Stadtmitte <ANONYMIZED_LOCATION> (<ANONYMIZED_LOCATION_2> 2). Wir benötigen dringend die Abholung bereits nächste Woche (KW 29). Vorab vielen Dank. Mit freundlichen Grüßen",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
Hallo ich bräuchte einen Container Für Sperrmüll 30 cb Und Restmüll 20 cb Gewerblich,,complex_query_customer_support,,,,,,,,,,,,,,,,,,,Hallo ich bräuchte einen Container Für Sperrmüll 30 cb Und Restmüll 20 cb Gewerblich,complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Guten Tag, wir haben bei zweimonatigem Abholen letztes Mal, am 4. Juli, vergessen, unsere blaue Papiertonne vors Haus zu stellen. Können wir das ausnahmsweise in drei Wochen tun? Beste Grüße",,complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Guten Tag, wir haben bei zweimonatigem Abholen letztes Mal, am 4. Juli, vergessen, unsere blaue Papiertonne vors Haus zu stellen. Können wir das ausnahmsweise in drei Wochen tun? Beste Grüße",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Sehr geehrte Damen und Herren, ich arbeite für Shoepassion Gmbh in Berlin und möchte ein Entsorgungsangebot anfragen. Entsorgung soll in Berlin 12681 stattfinden. Es müssen ca. 9500 Paare Schuhe, 360 Schuhpflegeprodukte und über 2000 Zubehör und Accessoires. Die Schuhe sind primär aus Leder, Pflegeprodukte sind meistens chemische Produkte und unter Zubehör und Accessoires sind diverse Sachen aus Plastik, Holz, Textil, Metall. Wie sie sehen es geht um viele diversen Produkte und ich bin mir nicht sicher welche Container ich bestellen soll. Könnten Sie mich bitte beraten? Ich bin auch telefonisch erreichbar : 015236876276 Vielen Dank! Mit Freundlichen Grüßen","Adresse, Telefonnummer",complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Sehr geehrte Damen und Herren, ich arbeite für Shoepassion Gmbh in <ANONYMIZED_LOCATION> und möchte ein Entsorgungsangebot anfragen. Entsorgung soll in <ANONYMIZED_LOCATION> 12681 stattfinden. Es müssen ca. 9500 Paare Schuhe, 360 Schuhpflegeprodukte und über 2000 Zubehör und Accessoires. Die Schuhe sind primär aus Leder, Pflegeprodukte sind meistens chemische Produkte und unter Zubehör und Accessoires sind diverse Sachen aus Plastik, Holz, Textil, Metall. Wie sie sehen es geht um viele diversen Produkte und ich bin mir nicht sicher welche Container ich bestellen soll. Könnten Sie mich bitte beraten? Ich bin auch telefonisch erreichbar : <ANONYMIZED_PHONE> Vielen Dank! Mit Freundlichen Grüßen",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
zwei Firmen 1 x alle zwei Wochen 1 x 120l Speisereste / 1 x 120l Fettentsorgung 1 x alle zwei Wochen 1 x 240l Speisereste Wir bitten um Rückruf! 03341 4114755 -,Telefonnummer,complex_query_customer_support,,,,,,,,,,,,,,,,,,,zwei Firmen 1 x alle zwei Wochen 1 x 120l Speisereste / 1 x 120l Fettentsorgung 1 x alle zwei Wochen 1 x 240l Speisereste Wir bitten um Rückruf! <ANONYMIZED_PHONE> -,complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Sehr geehrte Damen und Herren, wir haben von Ihnen eine Aktenvernichtungstonne und diese müsste geleert werden. Bei Fragen stehe ich gerne zur Verfügung. MfG",,complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Sehr geehrte Damen und Herren, wir haben von Ihnen eine Aktenvernichtungstonne und diese müsste geleert werden. Bei Fragen stehe ich gerne zur Verfügung. <ANONYMIZED_PERSON>",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Guten Tag, wir möchten gerne Bitumenschindeln entsorgen, es handelt sich um ca. 4 kubikmeter. Wo entsorgen wir diese.",,waste_disposal_guidance,,Bitemenschindeln gehören in den Dachpappe Container,,,,,,,,,,,,,,,,,"Guten Tag, wir möchten gerne Bitumenschindeln entsorgen, es handelt sich um ca. 4 kubikmeter. Wo entsorgen wir diese.",waste_disposal_guidance,"input: 0, output: 0","input: 0, output: 0","Bitumenschindeln können über spezielle Entsorgungsunternehmen oder Recyclinghöfe entsorgt werden. Es ist ratsam, sich bei einer lokalen Entsorgungsstelle zu erkundigen, wie die Entsorgung von 4 Kubikmetern organisiert werden kann."
"Guten Tag, Bretter auf denen Teerpappe geklebt war. Auf den Brettern sind noch festklebende Reste der total verwitterten Teerpappe (DDR Produkt 50iger Jahre) und Klebspuren. Ca 2m³ Dann außerdem ca 1m³ Baumisch bestehend aus Schilfrohrputz, ein paar Ziegel und Mörtel. 3 Müllsäcke voll verwitterter Teerpappe sind auch noch vorhanden. Welche Möglichkeit der Entsorgung wären denkbar?",,complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Guten Tag, Bretter auf denen Teerpappe geklebt war. Auf den Brettern sind noch festklebende Reste der total verwitterten Teerpappe (DDR Produkt 50iger Jahre) und Klebspuren. Ca 2m³ Dann außerdem ca 1m³ Baumisch bestehend aus Schilfrohrputz, ein paar Ziegel und Mörtel. 3 Müllsäcke voll verwitterter Teerpappe sind auch noch vorhanden. Welche Möglichkeit der Entsorgung wären denkbar?",waste_disposal_guidance,"input: 0, output: 0","input: 0, output: 0","Die Bretter mit Teerpappenresten sollten als Baumischabfall entsorgt werden, es sei denn, die Teerpappe erfordert eine Sonderentsorgung. Die Müllsäcke mit verwitterter Teerpappe dürfen nicht in Müllsäcken entsorgt werden und sollten ebenfalls als Baumischabfall oder Sondermüll behandelt werden. Der Baumischabfall aus Schilfrohrputz, Ziegeln und Mörtel kann in der Fraktion Baumischabfall entsorgt werden."
"Hallo, wir sind 3 Reihenhäuser und teilen uns einen Müllplatz. Wir haben eine 240L Papiertonne und würden uns eine 14tägige Abholung wünschen. Können wir einen Sondervertrag mit Ihnen vereinbaren? Wir wollten trotzdem mal fragen :) Vielen Dank",,complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Hallo, wir sind 3 Reihenhäuser und teilen uns einen Müllplatz. Wir haben eine 240L Papiertonne und würden uns eine 14tägige Abholung wünschen. Können wir einen Sondervertrag mit Ihnen vereinbaren? Wir wollten trotzdem mal fragen :) Vielen Dank",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
Ich würde gerne mit einem Container überschüssiges Material von einem Terrassenbau abtransportieren. Dies wären vermutlich: - Sand - Erde mit Sand - Schotter - Split Welcher Container wäre dafür geeignet?,,waste_disposal_guidance,Wo gehört Sand entsorgt. Wo gehört Erde entsorgt. Wo gehört Schotter entsorgt. Wo gehört Split entsorgt.,Das darf alles im Baumischabfall entsorgt werden,,,,,,,,,,,,,,,,,Ich würde gerne mit einem Container überschüssiges Material von einem Terrassenbau abtransportieren. Dies wären vermutlich: - Sand - <ANONYMIZED_LOCATION> mit Sand - Schotter - Split Welcher Container wäre dafür geeignet?,waste_disposal_guidance,"input: 0, output: 0","input: 0, output: 0","Für die Entsorgung von Sand, Schotter und Split ist ein Container für Bauschutt geeignet, da diese Materialien zu den mineralischen Abfällen zählen."
"Guten Tag, gerne möchten wir für einen Auftrag einen Container 5 m3 bestellen für Sperrmüll. Hier läge wohl der Preis einmalig bei 450, 10 Euro zuzüglich Mehrwertsteuer. Kommen noch weitere Kosten hier hinzu? Wir freuen uns über eine kurze Rückmeldung! Vielen Dank!",,internal_faq,Entstehen bei einem Container zusätzliche Kosten?,"Nein, nur bei einer Falschbefüllung oder Verlängerung der Stellzeit fallen Mehrkosten an.",,,,,,,,,,,,,,,,,"Guten Tag, gerne möchten wir für einen Auftrag einen Container 5 m3 bestellen für Sperrmüll. Hier läge wohl der Preis einmalig bei 450, 10 Euro zuzüglich Mehrwertsteuer. Kommen noch weitere Kosten hier hinzu? Wir freuen uns über eine kurze Rückmeldung! Vielen Dank!",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
ich bitte um ein Angebot für eine Schuttmulde. ca. 5 Tonnen Fliesenabfälle. Inkl. Anfahrt und Preis pro Tonne. Baustelle wäre in Hockenheim.,Adresse,complex_query_customer_support,,,,,,,,,,,,,,,,,,,ich bitte um ein Angebot für eine Schuttmulde. ca. 5 Tonnen Fliesenabfälle. <ANONYMIZED_LOCATION>. Anfahrt und Preis pro Tonne. Baustelle wäre in <ANONYMIZED_LOCATION_2>.,complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
Ich benötige für eine Haushaltsauflösung einen Container in Bempflingen. Stellmöglichkeit auf einer befestigten Fläche ist vorhanden(Parkplatz). Vor der Stellfläche ist wenig Platz zum Rangieren. Ist es Trotzdem möglich einen Container zu Stellen?,Adresse,internal_faq,Wie viel Platz für den Container wird benötigt?,Die Größe der Fläche ist individuell abhängig von der Containergröße. Die Zufahrt muss mindestens 4m breit und 15m lang sein.,,,,,,,,,,,,,,,,,Ich benötige für eine Haushaltsauflösung einen Container in <ANONYMIZED_LOCATION>. <ANONYMIZED_LOCATION_2> auf einer befestigten Fläche ist vorhanden(Parkplatz). Vor der Stellfläche ist wenig Platz zum Rangieren. Ist es Trotzdem möglich einen Container zu Stellen?,complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Hallo, ich möchte gerne einen Spermülcontainer mieten und dieser muss auf der Straße stehen vor der Wohnung. Wo muss ich das anmelden und kann ich den Container erst buchen, wenn ich die Genehmigung vorliegen habe? Vielen Dank",,internal_faq,Wo muss ich den Container anmelden? Brauche ich vorher eine Genehmigung?,Eine Stellplatzgenehmigung wird nur auf öffentlichen Ortern und der Innenstadt benötigt. Dafür muss die örtliche Behörde kontaktiert werden.,,,,,,,,,,,,,,,,,"Hallo, ich möchte gerne einen Spermülcontainer mieten und dieser muss auf der Straße stehen vor der Wohnung. Wo muss ich das anmelden und kann ich den Container erst buchen, wenn ich die Genehmigung vorliegen habe? Vielen Dank",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Sehr geehrte Damen und Herren, für unsere Hausstellung benötigen wir einen Baumischabfallcontainer mit 10 m3 inkl. Deckel in 71336 Waiblingen. Die Containeranlieferung sollte voraussichtlich am 04.09. erfolgen. Abgeholt werden kann der Container voraussichtlich um den 11.12.2024. Bei der Onlinebuchung (siehe Anhang) konnten wir nicht angeben, dass wir einen Deckel für den Container haben möchten. Ist dies nicht möglich? Könnten Sie uns hierfür bitte ein Angebot erstellen? Vielen Dank im Voraus! Freundliche Grüße",Adresse,complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Sehr geehrte Damen und Herren, für unsere Hausstellung benötigen wir einen Baumischabfallcontainer mit 10 m3 inkl. Deckel in 71336 <ANONYMIZED_LOCATION>. Die Containeranlieferung sollte voraussichtlich am 04.09. erfolgen. Abgeholt werden kann der Container voraussichtlich um den 11.12.2024. Bei der Onlinebuchung (siehe Anhang) konnten wir nicht angeben, dass wir einen Deckel für den Container haben möchten. Ist dies nicht möglich? Könnten Sie uns hierfür bitte ein Angebot erstellen? Vielen Dank im Voraus! Freundliche Grüße",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Ich habe 24 Platten Wellasbest, ca. 3m³ zu entsorgen. Bitte lassen Sie mir ein Angebot zukommen.",,complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Ich habe 24 Platten Wellasbest, ca. 3m³ zu entsorgen. Bitte lassen Sie mir ein Angebot zukommen.",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Ich möchte gern eine Papiertonne für unser 2 Familienhaus bestellen, die 14 tägig abgeholt werden soll. Bitte machen Sie mir ein Angebot, da online 4 wöchig voreingestellt ist. Objekt: Tschaikoskistraße 6",Adresse,complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Ich möchte gern eine Papiertonne für unser 2 Familienhaus bestellen, die 14 tägig abgeholt werden soll. Bitte machen Sie mir ein Angebot, da online 4 wöchig voreingestellt ist. Objekt: <ANONYMIZED_LOCATION> 6",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
Ich benötige einen 7qm Container für Lehmboden. Gerne mit einer Klappe.,,complex_query_customer_support,,,,,,,,,,,,,,,,,,,Ich benötige einen 7qm Container für Lehmboden. Gerne mit einer Klappe.,complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Hallo, Ich habe mal eine Frage, warum werden in komplett Braunschweig die Papier Container nicht mehr geleert? Ich werde mein Papier Müll nicht mehr los! Um eine Antwort wäre ich sehr dankbar. Beste Grüße",Adresse,complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Hallo, Ich habe mal eine Frage, warum werden in komplett <ANONYMIZED_LOCATION> die Papier Container nicht mehr geleert? Ich werde mein Papier Müll nicht mehr los! Um eine Antwort wäre ich sehr dankbar. Beste Grüße",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"noch ausstehende Tonnenlieferung Sehr geehrte Damen und Herren, wir haben am 26.06.2024 einen Umleerbehälter 1.100l bestellt. Leider ist der Behälter bis dato nicht bei uns eingetroffen. Wir benötigen diesen jedoch dringend. Wie erbitten daher um kurzfristige Erledigung. Mit freundlichen Grüßen",,complex_query_customer_support,,,,,,,,,,,,,,,,,,,"noch ausstehende Tonnenlieferung Sehr geehrte Damen und Herren, wir haben am 26.06.2024 einen Umleerbehälter 1.100l bestellt. Leider ist der Behälter bis dato nicht bei uns eingetroffen. Wir benötigen diesen jedoch dringend. Wie erbitten daher um kurzfristige Erledigung. Mit freundlichen Grüßen",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Hallo, in meiner Einfahrt muss ich Schotter, etwa 1-2 Kubikmeter abtragen um die Grundlage zur Verpflasterung des Platzes zu schaffen. Es müsste ein kleiner Container oder ein Bag in Frage kommen! Was würde das kosten? Mit freundlichen Grüßen,",,complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Hallo, in meiner Einfahrt muss ich Schotter, etwa 1-2 Kubikmeter abtragen um die Grundlage zur Verpflasterung des Platzes zu schaffen. Es müsste ein kleiner Container oder ein Bag in Frage kommen! Was würde das kosten? Mit freundlichen Grüßen,",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Wir müssen ein Haus komplett ausräumen inklusive überlagerter Lebensmittel auch in Gläsern undflaschen, Kunststoffblumen, Wäsche. Welcher Container käme dafür uns in Frage?",,waste_disposal_guidance,Wo gehören Lebensmittel entsorgt. Wo gehören Kunststoffblumen entsorgt. Wo gehört Wäsche entsorgt.,Die Lebensmittel gehören in die Lebensmittel Fraktion. Der Rest kann in Mischabfall entsorgt werden,,,,,,,,,,,,,,,,,"Wir müssen ein Haus komplett ausräumen inklusive überlagerter Lebensmittel auch in Gläsern undflaschen, Kunststoffblumen, Wäsche. Welcher Container käme dafür uns in Frage?",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Hallo, der Deckel von unserer Papiertonne ist leider kaputt gegangen und wohl beim Entleeren in den Müllwagen gefallen. Wir möchten deshalb eine neue leere blaue Tonne bestellen. Ist das möglich? Über eine Rückmeldung bedanken wir uns im Voraus. Unser Wohnort: Ruhrweg 22, 74172 Neckarsulm MfG Fam.",Adresse,complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Hallo, der Deckel von unserer Papiertonne ist leider kaputt gegangen und wohl beim Entleeren in den Müllwagen gefallen. Wir möchten deshalb eine neue leere blaue Tonne bestellen. Ist das möglich? Über eine Rückmeldung bedanken wir uns im Voraus. Unser Wohnort: <ANONYMIZED_LOCATION> 22, 74172 <ANONYMIZED_LOCATION_2> MfG Fam.",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Guten Tag, welchen Container soll ich am besten bestellen, wenn ich zum Großteil  Mauerwerk und zusätzlich einige Gibskartonplatten, Fliesen und Tapetenreste entsorgen möchte? Viele Grüße",,waste_disposal_guidance,Wo wird Mauerwerk entsorgt. Wo werden Gipskartonplatten entsorgt. Wo werden Tapetenreste entsorgt. Wo werden Fliesen entsorgt?,Alles kann in den Baumischabfall Container.,,,,,,,,,,,,,,,,,"Guten Tag, welchen Container soll ich am besten bestellen, wenn ich zum Großteil  Mauerwerk und zusätzlich einige Gibskartonplatten, Fliesen und Tapetenreste entsorgen möchte? Viele Grüße",waste_disposal_guidance,"input: 0, output: 0","input: 0, output: 0","Für die Entsorgung von Mauerwerk und Fliesen sollten Sie einen Container für Bauschutt bestellen. Gibskartonplatten und Tapetenreste müssen jedoch separat entsorgt werden, da sie nicht in die Fraktion Bauschutt gehören."
"Sehr geehrte Damen und Herren, wir benötigen Ende September/ Anfang Oktober einen Container, da wir unser Haus umbauen und renovieren möchten. Wir müssen Böden und Wände rausreißen daher denke ich Bauschuttmischabfälle werden wir benötigen. Das Objekt befindet sich im Hölzleshof 15 78730 Lauterbach. Was würde es bei ihnen kosten einen Container 10m3 für Bauschutt zu mieten und nach Lauterbach bringen und abholen zu lassen? Ich habe dies online berechnet, kommen da noch zusätzliche Gebühren dazu? Vielen Dank.",Adresse,complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Sehr geehrte Damen und Herren, wir benötigen Ende September/ Anfang Oktober einen Container, da wir unser Haus umbauen und renovieren möchten. Wir müssen Böden und Wände rausreißen daher denke ich <ANONYMIZED_LOCATION> werden wir benötigen. Das Objekt befindet sich im <ANONYMIZED_LOCATION_2> 15 78730 <ANONYMIZED_LOCATION_3>. Was würde es bei ihnen kosten einen Container 10m3 für Bauschutt zu mieten und nach <ANONYMIZED_LOCATION_3> bringen und abholen zu lassen? Ich habe dies online berechnet, kommen da noch zusätzliche Gebühren dazu? Vielen Dank.",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Hallo, ich bin interessiert an einer Regelmäßigen Papierentsorgung in einem Privathaushalt. Können Sie mich bitte über die anfallenden Gebühren informieren.",,complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Hallo, ich bin interessiert an einer Regelmäßigen Papierentsorgung in einem Privathaushalt. Können Sie mich bitte über die anfallenden Gebühren informieren.",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Sehr geehrte Damen und Herren, Ich möchte meine alten Akten/Ordner entsorgen, können diese in meiner Fil. Edeka Schmid, In den Burgwiesen 16, 72488 abgeholt werden (Container) ? Mit was für kosten muß ich hier rechnen. Mit freundlichen Grüßen","Adresse, Name",complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Sehr geehrte Damen und Herren, Ich möchte meine alten Akten/Ordner entsorgen, können diese in meiner Fil. <ANONYMIZED_PERSON>, In den Burgwiesen 16, 72488 abgeholt werden (Container) ? Mit was für kosten muß ich hier rechnen. Mit freundlichen Grüßen",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
