Inhalt;Anonymisierung;Klassifizierung;Generierte Frage/Fragen;Wunschantwort
Guten Tag, wir sind ein Bildungsunternehmen (Weiterbildungen und Kurse für Erwachsene). Wir möchten gern durch Sie Sperrmüll und Schrott entsorgt haben. Wir haben einige defekte Stühle (Holz und Metall), 1 Kühlschrank, 1 Holzpalette und diversen Schrott. Gibt es die Möglichkeit, dass Sie es abholen kommen können? Wir haben unseren Sitz in der Stadtmitte Cottbus (Schloßkirchstraße 2). Wir benötigen dringend die Abholung bereits nächste Woche (KW 29). Vorab vielen Dank. Mit freundlichen Grüßen;Adresse;complex_query_customer_support;;
Hallo ich bräuchte einen Container Für Sperrmüll 30 cb Und Restmüll 20 cb Gewerblich;;complex_query_customer_support;;
Guten Tag, wir haben bei zweimonatigem Abholen letztes Mal, am 4. Juli, vergessen, unsere blaue Papiertonne vors Haus zu stellen. Können wir das ausnahmsweise in drei Wochen tun? Beste Grüße;;complex_query_customer_support;;
Sehr geehrte Damen und Herren, ich arbeite für Shoepassion Gmbh in Berlin und möchte ein Entsorgungsangebot anfragen. Entsorgung soll in Berlin 12681 stattfinden. Es müssen ca. 9500 Paare Schuhe, 360 Schuhpflegeprodukte und über 2000 Zubehör und Accessoires. Die Schuhe sind primär aus Leder, Pflegeprodukte sind meistens chemische Produkte und unter Zubehör und Accessoires sind diverse Sachen aus Plastik, Holz, Textil, Metall. Wie sie sehen es geht um viele diversen Produkte und ich bin mir nicht sicher welche Container ich bestellen soll. Könnten Sie mich bitte beraten? Ich bin auch telefonisch erreichbar : 015236876276 Vielen Dank! Mit Freundlichen Grüßen;Adresse, Telefonnummer;complex_query_customer_support;;
zwei Firmen 1 x alle zwei Wochen 1 x 120l Speisereste / 1 x 120l Fettentsorgung 1 x alle zwei Wochen 1 x 240l Speisereste Wir bitten um Rückruf! 03341 4114755 -;Telefonnummer;complex_query_customer_support;;
Kundennummer 5000034309 Sehr geehrte Damen und Herren, wir haben von Ihnen eine Aktenvernichtungstonne und diese müsste geleert werden. Bei Fragen stehe ich gerne zur Verfügung. MfG;Kundenummer;complex_query_customer_support;;
Guten Tag, wir möchten gerne Bitumenschindeln entsorgen, es handelt sich um ca. 4 kubikmeter. Wir möchten gerne ein Angebot von Ihnen bekommen.;;waste_disposal_guidance;;Bitemenschindeln gehören in den Dachpappe Container
Guten Tag, Bretter auf denen Teerpappe geklebt war. Auf den Brettern sind noch festklebende Reste der total verwitterten Teerpappe (DDR Produkt 50iger Jahre) und Klebspuren. Ca 2m³ Dann außerdem ca 1m³ Baumisch bestehend aus Schilfrohrputz, ein paar Ziegel und Mörtel. 3 Müllsäcke voll verwitterter Teerpappe sind auch noch vorhanden. Welche Möglichkeit der Entsorgung wären denkbar?;;complex_query_customer_support;;
Hallo, wir sind 3 Reihenhäuser und teilen uns einen Müllplatz. Wir haben eine 240L Papiertonne und würden uns eine 14tägige Abholung wünschen. Können wir einen Sondervertrag mit Ihnen vereinbaren? Wir wollten trotzdem mal fragen :) Vielen Dank;;complex_query_customer_support;;
Ich würde gerne mit einem Container überschüssiges Material von einem Terrassenbau abtransportieren. Dies wären vermutlich: - Sand - Erde mit Sand - Schotter - Split Welcher Container wäre dafür geeignet?;;waste_disposal_guidance;Wo gehört Sand entsorgt. Wo gehört Erde entsorgt. Wo gehört Schotter entsorgt. Wo gehört Split entsorgt.;Das darf alles im Baumischabfall entsorgt werden
Guten Tag, gerne möchten wir für einen Auftrag einen Container 5 m3 bestellen für Sperrmüll. Hier läge wohl der Preis einmalig bei 450, 10 Euro zuzüglich Mehrwertsteuer. Kommen noch weitere Kosten hier hinzu? Wir freuen uns über eine kurze Rückmeldung! Vielen Dank!;;internal_faq;Entstehen bei einem Container zusätzliche Kosten?;Nein, nur bei einer Falschbefüllung oder Verlängerung der Stellzeit fallen Mehrkosten an.
ich bitte um ein Angebot für eine Schuttmulde. ca. 5 Tonnen Fliesenabfälle. Inkl. Anfahrt und Preis pro Tonne. Baustelle wäre in Hockenheim.;;complex_query_customer_support;;
Ich benötige für eine Haushaltsauflösung einen Container in Bempflingen. Stellmöglichkeit auf einer befestigten Fläche ist vorhanden(Parkplatz). Vor der Stellfläche ist wenig Platz zum Rangieren. Ist es Trotzdem möglich einen Container zu Stellen?;;internal_faq;Wie viel Platz für den Container wird benötigt?;Die Größe der Fläche ist individuell abhängig von der Containergröße. Die Zufahrt muss mindestens 4m breit und 15m lang sein.
Hallo, ich möchte gerne einen Spermülcontainer mieten und dieser muss auf der Straße stehen vor der Wohnung. Wo muss ich das anmelden und kann ich den Container erst buchen, wenn ich die Genehmigung vorliegen habe? Vielen Dank;;internal_faq;Wo muss ich den Container anmelden? Brauche ich vorher eine Genehmigung?;Eine Stellplatzgenehmigung wird nur auf öffentlichen Ortern und der Innenstadt benötigt. Dafür muss die örtliche Behörde kontaktiert werden. 
Sehr geehrte Damen und Herren, für unsere Hausstellung benötigen wir einen Baumischabfallcontainer mit 10 m3 inkl. Deckel in 71336 Waiblingen. Die Containeranlieferung sollte voraussichtlich am 04.09. erfolgen. Abgeholt werden kann der Container voraussichtlich um den 11.12.2024. Bei der Onlinebuchung (siehe Anhang) konnten wir nicht angeben, dass wir einen Deckel für den Container haben möchten. Ist dies nicht möglich? Könnten Sie uns hierfür bitte ein Angebot erstellen? Vielen Dank im Voraus! Freundliche Grüße;;complex_query_customer_support;;
Ich habe 24 Platten Wellasbest, ca. 3m³ zu entsorgen. Bitte lassen Sie mir ein Angebot zukommen.;;complex_query_customer_support;;
Ich möchte gern eine Papiertonne für unser 2 Familienhaus bestellen, die 14 tägig abgeholt werden soll. Bitte machen Sie mir ein Angebot, da online 4 wöchig voreingestellt ist. Objekt: Tschaikoskistraße 6;Adresse;complex_query_customer_support;;
Ich benötige einen 7qm Container für Lehmboden. Gerne mit einer Klappe.;;complex_query_customer_support;;
Hallo, Ich habe mal eine Frage, warum werden in komplett Braunschweig die Papier Container nicht mehr geleert? Ich werde mein Papier Müll nicht mehr los! Um eine Antwort wäre ich sehr dankbar. Beste Grüße;;complex_query_customer_support;;
Auftragsnummer 00281053 noch ausstehende Tonnenlieferung Sehr geehrte Damen und Herren, wir haben am 26.06.2024 einen Umleerbehälter 1.100l bestellt. Leider ist der Behälter bis dato nicht bei uns eingetroffen. Wir benötigen diesen jedoch dringend. Wie erbitten daher um kurzfristige Erledigung. Mit freundlichen Grüßen;Auftragsnummer;complex_query_customer_support;;
Hallo, in meiner Einfahrt muss ich Schotter, etwa 1-2 Kubikmeter abtragen um die Grundlage zur Verpflasterung des Platzes zu schaffen. Es müsste ein kleiner Container oder ein Bag in Frage kommen! Was würde das kosten? Mit freundlichen Grüßen,;;complex_query_customer_support;;
Wir müssen ein Haus komplett ausräumen inklusive überlagerter Lebensmittel auch in Gläsern undflaschen, Kunststoffblumen, Wäsche. Welcher Container käme dafür uns in Frage?;;waste_disposal_guidance;Wo gehören Lebensmittel entsorgt. Wo gehören Kunststoffblumen entsorgt. Wo gehört Wäsche entsorgt.;Die Lebensmittel gehören in die Lebensmittel Fraktion. Der Rest kann in Mischabfall entsorgt werden 
Hallo, der Deckel von unserer Papiertonne ist leider kaputt gegangen und wohl beim Entleeren in den Müllwagen gefallen. Wir möchten deshalb eine neue leere blaue Tonne bestellen. Ist das möglich? Über eine Rückmeldung bedanken wir uns im Voraus. Unser Wohnort: Ruhrweg 22, 74172 Neckarsulm MfG Fam.;Adresse;complex_query_customer_support;;
Guten Tag, welchen Container soll ich am besten bestellen, wenn ich zum Großteil  Mauerwerk und zusätzlich einige Gibskartonplatten, Fliesen und Tapetenreste entsorgen möchte? Viele Grüße;;waste_disposal_guidance;Wo wird Mauerwerk entsorgt. Wo werden Gipskartonplatten entsorgt. Wo werden Tapetenreste entsorgt. Wo werden Fliesen entsorgt?;Alles kann in den Baumischabfall Container.
Sehr geehrte Damen und Herren, wir benötigen Ende September/ Anfang Oktober einen Container, da wir unser Haus umbauen und renovieren möchten. Wir müssen Böden und Wände rausreißen daher denke ich Bauschuttmischabfälle werden wir benötigen. Das Objekt befindet sich im Hölzleshof 15 78730 Lauterbach. Was würde es bei ihnen kosten einen Container 10m3 für Bauschutt zu mieten und nach Lauterbach bringen und abholen zu lassen? Ich habe dies online berechnet, kommen da noch zusätzliche Gebühren dazu? Vielen Dank.;Adresse;complex_query_customer_support;;
Hallo, ich bin interessiert an einer Regelmäßigen Papierentsorgung in einem Privathaushalt. Können Sie mich bitte über die anfallenden Gebühren informieren.;;complex_query_customer_support;;
Sehr geehrte Damen und Herren, Ich möchte meine alten Akten/Ordner entsorgen, können diese in meiner Fil. Edeka Schmid, In den Burgwiesen 16, 72488 abgeholt werden (Container) ? Mit was für kosten muß ich hier rechnen. Mit freundlichen Grüßen;Adresse;complex_query_customer_support;;
Ich möchte eine gelbe Tonne bestellen. Britta Rossow Glasapfelweg 8 13127 Berlin - in KGA Gravenstein Ecke Straße 76 bitte stellen Danke;Adresse, Name;complex_query_customer_support;;
Hallo zusammen, ich möchte hiermit anfragen welchen Container ich benötige? Es handelt sich um Getränke die abgelaufen sind. Die Getränke sind in Einweg Glas gefüllt und abgelaufen. Der Inhalt ist unterschiedlich.  Anbei finden Sie auch ein paar Bilder. Auf freue mich auf Ihre Rückmeldung. Viele Grüße;;waste_disposal_guidance;Wie entsorge ich Getränke in Glasflaschen.;In den Container Lebensmittel dürfen nur unverpackte Lebensmittel.
Auf Grund einer Neueröffung einer Filiale von uns, können wir nicht genau sagen wie viel Kartonage anfallen wird im Laufe der Geschäftszeit. Ist es möglich die Menge und / oder Größe der bestellten Behälter innerhalb des Vertrages zu ändern?;;complex_query_customer_support;;
bitte für cosmarweg 82 in 13591 Berlin Plastikabfall Gelbe Tonne;Adresse;complex_query_customer_support;;
Guten Tag, Ich habe folgendes Anliegen. Bis Ende des Jahres sollen an angegebener PLZ rund 800 Matratzen entsorgt werden. Dieses Wird sich im Zeitraum von 6 Monaten auf 4 Termine verteilt abspielen. Wir benötigen pro Termin ca. 3 Container in der Größe 40m3. Diese 3 Container werden eine geschätzte Standzeit von 3 Tagen haben. Zusätzlich zu jedem Termin benötigen wir noch einen 20m3 Container für reine Folienabfälle. Könnten Sie mir bitte Ihre Konditionen an unten eingetragene Mail Adresse zukommen lassen? Wichtige Informationen dier Ich von Ihnen benötigen: - Tonnenpreis für die Entsorgung - Preise für Hol/Bringservice+Preise für Standtage -Verrechnungsvergütung für Folie Freundliche Grüße;;complex_query_customer_support;;
Guten Tag, Ich möchte einen baumisch Container 20m3 Und einen Bauschutt Container 10m3. Können diese ggf zusammen gebracht/geholt werden um Kosten zu sparen? Oder welche Containergrößen sind kombinierbar? Mit freundlichen;;internal_faq;Können mehrere Container zusammen abgeholt werden;Dazu gibt es keine Antwort in den Dokumenten.
Ich suche eine Grubenentleerung. Macht ihr das auch?;;complex_query_customer_support;;
Hallo Alba Team, ich möchte unseren Natursteinbelag und Estrich rausreissen und in einem Container von Ihnen entsorgen lassen. Ich weiss noch nicht genau wie viel Menge es sein wird aber rechnerisch komme ich auf folgende Werte: Naturstein (Marmor): 0,92m3 --> 1,7Tonnen Estrich: 2,77m3 --> 8 Tonnen Beides ist Bauschutt? Können Sie mir dazu ein Angebot machen, wenn der Container max. 7 Tage bei mir steht (Zeppelinstr. 305/2, 88048 Friedrichshafen). Wird es dann nach dem wiegen verrechnet? Wie lange dauert es ab Buchung bis der Container Vorort steht? Ist das schnell möglich? Sind die Online Preise im Vergleich fix Preise oder wird hier auch das Gewicht verrechnet? Bsp. 7m3 Container kostet knapp 540€. VG,;Adresse;complex_query_customer_support;;
Zu entsorgen wären Spanplatten - ca. 1000 kg;;waste_disposal_guidance;Wo kann ich Spanplatten entsorgen?;Spanplatten können im Container Holz A4 oder Holz A1-A3 entsorgt werden
Hallo und guten Tag. Wir haben auf der Internetseite leider keine passende Antwort zur Größe der Container gefunden. Welche gibt es?;;internal_faq;Welche Containergrößen gibt es?;Es gibt verschiedene Containergrößen und diese variieren je anch Abfallart und Postleitzahl.
Hallo, Wir fangen an unser Haus zu sanieren hierzu benötigen wir einen Container zur Entsorgung von, Zimmertüren(Holz mit Glas), Bodenbeläge(Parkett, Teppich),Tapete. Das Haus hat 180qm². Welche Containergröße wird hier erfahrungsgemäß benötigt ? Wir konnten Online nur Preise für offene Container finden. Wie sind die Kosten für, Container zum Abschließen?;;complex_query_customer_support;;
Sehr geehrte Damen und Herren, ich habe bei Ihnen am 24.06.2024 (m.hartwig@gmx.net) einen Altholz A IV Container angemietet. Nun habe ich Schieferplatten in der Decke entdeckt. (siehe Bild). Kann ich diese Schieferplatten in diesen bereits angemieteten Container mit entsorgen oder können diese bei einer Anmietung eines Bauschuttcontainers entsorgt werden? Des Weiteren stellt sich mit die Frage, ob ich in den Bauschuttcontainer auch Estrich entsorgen kann. Vielen Dank für Ihre Rückmeldung. Mit freundlichem Gruß;email;waste_disposal_guidance;Können Schieferplatten in Altholz A4 entsorgt werden? Können Schieferplatten in Bauschutt entsorgt werden? Kann Estrich im Bauschuttcontainer entsorgt werden?;Schieferplatten dürfen nicht im Holz Container entsorgt werden, stattdessen können diese mit Estrich zusammen im Bauschutt Container entsorgt werden.
Hallo, Ich habe Estrich und fliesen zum entsorgen. Ist das Bauschutt?;;waste_disposal_guidance;Kann Estrich im Bauschutt entsorgt werden. Können Fliesen im Bauschutt entsorgt werden?;Ja, Fliesen und Estrich können im Bauschutt entsorgt werden.
Sehr geehrte Damen und Herren, was würde es mich kosten einen 7 Kubikcontainer mit Gipsresten entsorgen zu lassen. Das Ganze ist privat.;;complex_query_customer_support;;
Hallo, uns würde gerne interessieren was es kosten würde 5x Papptonnen 1x Wertstofftonne sowie 1x Hausmülltonne in der Größe 1m³ zustellen und wöchentlich alle zu leeren.;;complex_query_customer_support;;
Es geht hier um den Austausch Gelber Sack gegen Gelbe Tonne Mein Grundstück wurde leider beim Umtausch vergessen, bitte daher um Nachlieferung einer 120 Liter Gelbe-Tonne 13129 Berlin Oberonstr. 13A;Adresse;complex_query_customer_support;;
Sehr geehrte Damen und Herren, wir sind neu in Kurpromenade 46 in 14089 eingezogen und haben keinen Container für gelbe Säcke bekommen. Die Nachbarn berichteten, dass diese Container allen Haushalten vor einigen Monaten ausgeliefert wurden. Bitte nehmen Sie Kontakt mit uns auf, damit wir einen Termin vereinbaren können bzw. nähere Informationen erhalten können. Vielen Dank für Ihre Mühe und herzliche Grüße! Familie;Adresse;complex_query_customer_support;;
Sehr geehrte Damen und Herren, Würden sie mir bitte ein Angebot machen für einen Absetzcontainer ca. 7m³ Es müssen folgende Abfälle entsorgt werden: -Sauerkrautplatten mit und ohne Styroporkern, -Holzplatten aus Innenverkleidung, -Laminat, -Linoleum, -Lehm/ Strohgemisch aus Dachdämmung, -Gipsplatten mit Tapetenresten -Bimshohlblocksteine Mietzeitraum ca. 2-3 Wochen, wenn möglich mit einer Bauschuttrutsche. Es gibt eine befestigte Anlieferfläche von von ca. 15m x 3,5m Vielen Dank und schöne Grüße;;complex_query_customer_support;;
Guten Tag wir benötigen einen Sperrmüllcontainer ca 7m3. Wir haben einen privaten Parkplatz von ca 12x22metern der von einer normalen Straße aus zu erreichen ist. Ihre Stellplatzinformationen haben uns nun aber verunsichert ob dieser Container bei uns abgestellt werden kann. Es wäre nett wenn Sie sich dazu einmal bei uns zurück melden könnten. Wie oft? einmalig Welche Größe? Absetzcontainer 7m³ Stelldatum wahrscheinlich zwischen dem 3.7 bis 12.7 Handynummer 01722550735 oder 01723817418 mit freundlichen Grüßen,;Telefonnummer;complex_query_customer_support;;
Ausräumen eines Messi-Hauses;;complex_query_customer_support;Weiterleiten an ALBA;"Frage muss durch ALBA bearbeitet werden. Kann darum direkt ""durchgeschleust"" werden."
2-3m³ Mauerwerk, 1m³ Beton, 80m² Parkett, 60m² Laminat;;waste_disposal_guidance;Wo wird Mauerwerkt ensorgt. Wo wird Beton entsorgt. Wo wird Parkett ensorgt. Wo wird Laminat entsorgt.;Mauerwerk, Beton und Parkett können in Baumischabfall entsorgt werden. Laminat gehört in den Sperrmüll.
Hallo, brauche für mein Gewerbehof einen Container 2 m³ Bau-Misch mit Deckel, der circa alle 4-6 Wochen geleert wird. Bitte um Angebot. Mit freundlichen Grüßen;;complex_query_customer_support;;
Sehr geehrte Damen und Herren, wir sind eine Eismanufaktur in Niederschöneweide und arbeiten von März-Oktober, also in dieser Zeit ist der Laden geöffnet und wir haben relativ viel Pappe. Von November-Februar ist der Laden geschlossen und es fällt demnach auch keine Pappe an. Wir bräuchten eine 1100l Tonne mit Kette und Schloss. Können Sie uns dazu ein Angebot machen? Vielen Dank. Mit freundlichen Grüßen;;complex_query_customer_support;;
Hallo liebes Alba-Team, wir sind eine neue Kita in Moabit (Lehrter Straße 54, 10557 Berlin) und benötigen Mülltonnen. Wir brauchen Pappe-, Plastik-, Gewerbe- und Biomülltonnen, die alle 4 Wochen abgeholt werden. Wie viel würde das kosten? Liebe Grüße i.V.;Adresse;complex_query_customer_support;;
Hallo, wieso ist ist Ihre Unternehmensfarbe blau? Grüße;;irrelevant_or_smalltalk;;
Hi, ich brauche eine regelmäßige Entleerung von einem Pappcontainer. Bieten Sie sowas auch an? Ravenestr. 8 in 13543 Berlin. Grüße von Manni Boxter;Adresse, Name;internal_faq;Ist eine regelmäßige Entleerung eines Papiercontainers möglich?;Ja, für Pappe|Papier bieten wir eine regelmäßige Entsorgung an.
Habt ihr auch Rollcontainer? Was für einen Untergrund brauchtr man da?;;internal_faq;Gibt es auch Rollcontainer? Welchen Untergrund benötigen Rollcontainer?;Wir bieten Absatz- und Abrollcontainer an. Für beide Containerarten muss ein fester Untergrund sichergestellt sein.
Kann ich in den Container reingehen?;;internal_faq;Ist der Container begehbar?;Der Abrollcontainer ist begehbar, der Absetzcontainer jedoch nicht.
Hilfe, ich habe mich vertippt. Statt der Hofstraße 81a habe ich ausversehen die Hofstraße 91a in 15345 Berlin eingegeben. Kann ich die Containerbestellung noch ändern? Bitte melden Sie sich;Adresse;internal_faq;Kann die Adresse bei einer Containerbestellung geändert werden?;Für die Änderung deiner Daten nach der Bestellung kontaktiere bitte den Kundenservice.
Mein Kollege mit der Telefonnumemr 017283947362 hat einen Container bestellt. Diesen brauchen wir aber doch nicht. Wie kann ich stornieren?;Telefonnummer;internal_faq;Wie kann ein Container storniert werden?;Für die Stornierung oder Widerrufung des bestellten Containers, kontaktiere bitte den Kundenservice.
wnn ich heute anrufe und bestelle, kann ich nächste woche den container haben oder wie lange dauert es?;;internal_faq;Wie lange dauert die Lieferung des Containers;Die Lieferung unserer Container ist häufig auch sehr kurzfristig möglich.Hier kommt es auf die Verfügbarkeit des jeweiligen Containers in deiner Region an. Wenn du einen Container auswählst, siehst du den frühestmöglichen Anlieferungstag. Solltest du den Behälter dennoch früher benötigen, kontaktiere uns bitte telefonisch.
Ich habe ein neues Haus gebaut in der rotkelchenallee 14612 falkensee und brauche einen container. Die einfahrt ist 5m breit und 20m lang. Lkw kommt eigentlich durch. Passt die größe für Anlieferung?;Adrese;internal_faq;Wie groß muss die Einfahrt für einen Container sein?;Die Zufahrt muss min 4m breit und 15m lang sein.
Wann erfolgt die Lieferung, also uhrzeit, ich bin nicht immer zu haus;;internal_faq;Zu welcher Uhrzeit erfolgt die Containerlieferung;Die Lieferung findet in der Regel in der Zeit von 8:00 - 15:00 Uhr statt. Soll die Anfahrt früher oder später erfolgen, gib das bitte im Bestellprozess mit an und wir prüfen die Möglichkeit. 
Anlieferung soll übermorgen sein, aber ich bin nicht da. Kann die Anlieferung trotzdem erfolgen, obwohl ich nicht vor ort bin? Es geht um den Standort in Braunschweig 25332, Alter Fischerweg 12. Liebe Grüße;Adresse;internal_faq;Muss ich bei der Anlieferung anwesend sein?;Du musst nicht zwingend bei der Containerlieferung vor Ort sein, solange die Zufahrt für das Fahrzeug gewährleistet ist
Guten Abend, mein Name ist Henning Polster von der RetroFisch GmbH. Es sieht aus, als ob unsere Papiertonne nächste Woche schon voll ist. Wie kann ich irgendwie ein Leerung zwischendrinnen beuaftrtagen?;Name;internal_faq;Wie kann ich eine Zwischenleerung beauftragen;Für eine Zwischenleerung oder eine vorzeitige Leerung kannst du dich gerne an unseren Kundenservice wenden.
Kriegt man Geld wieder wenn der Container nur halb voll ist? Ich weiß nämlich noch nicht wie viel Bauschutt ich aus dem Abriss des Wintergartens rausbekomme. Danke, Peter Neumann;Name;internal_faq;Bekomme ich Geld wieder bei einem halbvollen Container?;Nein, der Container besitzt einen Pauschalpreis. Es gibt kein Geld zurück
Ich soll von meinem Chef fragen, wann der container abgeholt wird;;internal_faq;Wann wird mein Container abgeholt?;Dein Container wird an deinem gewünschten Datum wird abgeholt. Dieses legst du bei der Bestellung fest.
Wenn wir uns heute einen Container bestellen, wie lange darf dieser bei uns stehen? Können wir diesenb gegen eine kleine Zuzahlung länger behalten, weil wir bräuchten den schon so mindestens 2/3 Wochen. Ich bitte um eine Rückmeldung unter 016837463726. Schönen Tag noch!;Telefonnummer;internal_faq;Wie lange darf der Container stehen bleiben? Darf der Container länger stehen bleiben?;Die reguläre Stellzeit, die in unserer Preisen enthalten ist beträgt 7 Tage. Du kannst gerne die Stelldauer verkürzen oder auch für einen kleinen Aufpreis verlängern.
Wir haben kaum Platz bei uns auf dem Grundstück und müssten den Bauschutt Container auf den öffentlichen Weg stellen. Ist dies möglich? Falls ja, brauche ich dafür eine Genehmigung? Bitte um Beantwortung;;internal_faq;Darf ein Bauschuttcontainer auf einem öffentlichen Weg stehen? Wird für die Aufstellung eines Containers eine Genehmigung benötigt?;Der Container kann auf öffentlichem Grund aufgstellt werden, jedoch wird dafür eine Stellgenehmigung benötigt. Diese kannst du bei deiner zuständigen Verwaltungsbehörde einholen.
Ich komme grade von der Baustelle und der Fahrer hat den Container richtig Schei…. Aufgestellt. Kann ich den drehen einfach oder nicht?;;internal_faq;Darf der Container gedreht werden?;Der Container sollte nicht verrückt oder gedreht werden, damit der LKW diesen problemlos wieder einladen kann.
Sehr geehrte Damen und Herren, ich frage mich, wie hoch ich den Container beladen darf, da wir ein paar sehr große Latten haben die kaum in den Bauschutt Container reinpassen. Liebe Grüße;;internal_faq;Wie hoch darf der Container beladen werden?;Der Container darf nur bis zu der Beladungskante befüllt werden. Nur so ist ein ordentlicher und sicherer Transport der Abfälle möglich. Bei der Überfüllung des Containers kann der Inhalt beim Transport andere Verkehrsteilnehmer gefährden.
Hallo, ich habe ein Problem. Unsere Nachbarn nutzen immer unseren Container und werfen ihren Müll darein. Dadurch ist der Container immer so schnell voll. Habt ihr eine Lösung dafür, dass kein adnerer mehr Müll bei uns reinwirft?;;internal_faq;Wie kann verhindert werden, dass andere meinen Container verwenden;Damit dein Container vor Fremdbefüllung geschützt ist, bieten wir die Erweiterung mit Deckel bzw. Kette und Schloss an. Somit ist dein Container vor Befüllung außenstehender Personen oder Diebstahl geschützt.
Irgendwie bin ich blind oder ich habe es nicht gefunden, aber wie kann man bei euch bezahlen? Danke und herzlichste Grüße aus dem Sauerland. Nicole Berger;Name;internal_faq;Wie kann man bezahlen?;Du kannst mit den folgenden Zahlungsmethoden bei uns bezahlen: Paypal, Kreditkarte (Visa u. Mastercard), Auf Rechnung (vorbehaltlich Schufa Prüfung)
Sehr geehrte Damen und Herren, wir haben einen großen Hof, der super mit dem LKW zu erreichen ist. Könnten Sie die Tonne dann gleich von unserem Hof abholen? Ansonsten dauert das für uns so ewig da nach vorne zu laufen. Vielen Dank und einen schönen Tag!;;internal_faq;Wird die Tonne vom Hof geholt?;Wir bitten dich die Mülltonne am Leerungstag ab 6 Uhr am Straßenrand bereit zu stellen.
Hallo, wissen Sie zufällig, wie das Wetter morgen in München wird? Ich wohne in der Rosenheimer Straße 45, 81669 München.;Adresse;irrelevant_or_smalltalk;;
Mein Name ist Julia Müller, Adresse: Bahnhofstraße 12, 90402 Nürnberg — können Sie mir ein gutes Rezept für Apfelkuchen geben?;Name, Adresse;irrelevant_or_smalltalk;;
Können Sie bitte meinem Kollegen Markus alles Gute zum Geburtstag wünschen? Er wohnt in der Parkallee 7 in Bremen.;Name, Adresse;irrelevant_or_smalltalk;;
Wie sagt man eigentlich ‘Guten Appetit’ auf Französisch?;;irrelevant_or_smalltalk;;
Wissen Sie, wer gestern das Fußballspiel Bayern gegen Dortmund gewonnen hat?;;irrelevant_or_smalltalk;;
Können Sie mir bitte einen Witz erzählen? Ich sitze gerade im Wartezimmer beim Arzt;;irrelevant_or_smalltalk;;
Ist die Berliner Straßen Reinigung eigentlich ein direkter konkurent von Ihnen?;;irrelevant_or_smalltalk;;
Meine Nummer ist +49 151 334 7788 — können Sie mir ein schönes Zitat per SMS schicken?;Telefonnummer;irrelevant_or_smalltalk;;
